サウンド設定を行います,声音设置
フィオネH02通過,通过菲奥奈H02
フィオネH03通過,通过菲奥奈H03
フィオネH04通過,通过菲奥奈H04
クローディアH通過,通过库罗蒂雅H
リサH通過,通过莉莎H
アイリスH通過,通过阿伊莉斯H
プロローグ（シナリオ）終了,完成序幕（剧本）
プロローグ（ムービー）終了,完成序幕（动画）
データセーブ,保存数据
システムセーブ,保存系统
環境設定,环境设置
キャンセル,取消
データロード,读取数据
システムロード,读取系统
タイトルに戻ります,返回标题界面
リプレイの選択画面に戻ります,返回回放选择界面
おまけの選択画面に戻ります,返回特典选择界面
前のチャプターまでジャンプします,跳转至上一章节
押している間早戻しします,按住时快速后退
オートモードのＯＮ，ＯＦＦを行います,自动模式ＯＮ，ＯＦＦ
押している間早送りします,按住时快速前进
次のチャプターまでジャンプします,跳转至下一章节
クイックセーブを行います,进行快速保存
クイックロードを行います,进行快速读取
ボイスを再生します,播放语音
１ページに移動します,跳转至第１页
２ページに移動します,跳转至第２页
３ページに移動します,跳转至第３页
４ページに移動します,跳转至第４页
５ページに移動します,跳转至第５页
６ページに移動します,跳转至第６页
７ページに移動します,跳转至第７页
８ページに移動します,跳转至第８页
９ページに移動します,跳转至第９页
10ページに移動します,跳转至第10页
クイックセーブ画面に移動します,跳转至快速保存界面
自動クイックセーブ画面に移動します,跳转至自动快速保存界面
^メモリーカードをチェックしています。,^正在检查记忆卡。
^メモリーカードがセットされていません。,^未插入记忆卡。
^セーブデータがありません。,^无存档数据。
メモリーカードの空き容量が不足しています。^セーブするには空き容量が２ＭＢ以上必要です。,记忆卡剩余空间不足。^保存需要至少２ＭＢ剩余空间。
^メモリーカードがフォーマットされていません。,^记忆卡未格式化。
^フォーマットを実行しますか？,^是否执行格式化？
^フォーマットに失敗しました。,^格式化失败。
フォーマット中です。　　　　　　　　　　　　　^メモリーカードを抜き差ししないでください。,正在格式化。　　　　　　　　　　　　　^请勿拔插记忆卡。
^セーブを続行しますか？,^是否继续保存？
^ロードを続行しますか？,^是否继续读取？
^セーブデータをロード中です。,^正在读取存档数据。
^ファイルが壊れています。,^文件已损坏。
メモリーカードがセットされていません。　　^セーブするには空き容量が２ＭＢ以上必要です。,未插入记忆卡。　　^保存需要至少２ＭＢ剩余空间。
フォーマットされていないメモリーカードです。セーブするには空き容量が２ＭＢ以上必要です。,未格式化的记忆卡。保存需要至少２ＭＢ剩余空间。
^このまま開始しますか？,^是否直接开始？
^セーブデータのロードに成功しました。,^成功读取存档数据。
^セーブ中です。,^正在保存。
^セーブが終了しました。,^保存完成。
^セーブに失敗しました。,^保存失败。
^システムデータのセーブに失敗しました。,^系统数据保存失败。
^システムデータをセーブしますか？,^是否保存系统数据？
^ロードしますか？,^是否读取？
^セーブしますか？,^是否保存？
^上書きしますか？,^是否覆盖？
^システムデータがありません。,^无系统数据。
^フォーマットに成功しました。,^格式化成功。
^システムデータをロードしますか？,^是否读取系统数据？
^システムデータをロード中です。,^正在读取系统数据。
^システムデータのロードに成功しました。,^成功读取系统数据。
^システムデータのロードに失敗しました。,^读取系统数据失败。
セーブデータのチェックに失敗しました。　　　^セーブデータが破損している可能性があります。,存档数据检查失败。　　　^存档数据可能已损坏。
^セーブデータをチェックしています。,^正在检查存档数据。
^セーブをキャンセルしますか？,^是否取消保存？
^ロード可能なセーブデータがありません。,^没有可读取的存档数据。
^セーブデータのチェックを行います。　　　　　　^,^正在检查存档数据。　　　　　　^
セーブに失敗しました。再度セーブを開始します。^○ボタンを押してください　　　　　　　　　　　,保存失败。重新开始保存。^请按下○按钮　　　　　　　　　　　
セーブデータが破損しているので、^上書きします。　　　　　　　　　,存档数据已损坏、^是否覆盖？　　　　　　　　　
ＮＯ　ＤＡＴＡ,ＮＯ　ＤＡＴＡ
メモリースティックΘがセットされていません,未插入记忆卡
チェック中です,正在检查
クイックロード画面に移動します,跳转至快速读取界面
自動クイックロード画面に移動します,跳转至自动快速读取界面
